primary_goal,weight,height,body_type,past_injury,body_goal,fitness_experience,last_ideal_weight_time,work_schedule,typical_day,Assigned Program
Healthy Habits,64,181,Obese,Foot region,Muscular,Struggle to Build Muscle,Never,Retired,Active Breaks,Program 5
Weight Loss,117,200,Slim,Arm region,Toned,Struggle to Build Muscle,More than 3 years,Retired,Active Breaks,Program 19
Get in Shape,76,158,Medium Build,Arm region,Toned,Gain Easily Struggle to Lose,Less than 1 year,Flexible,Standing All Day,Program 5
Weight Loss,120,192,Obese,Arm region,Athletic,Struggle to Build Muscle,More than 3 years,Flexible,Standing All Day,Program 4
Get in Shape,83,168,Obese,Chest region,Muscular,Gain Easily Struggle to Lose,Never,9 to 5,Active Breaks,Program 5
Weight Loss,72,168,Stocky,Chest region,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,Flexible,Sitting Most of Day,Program 19
Healthy Habits,62,169,Medium Build,Head region,Toned,Struggle to Build Muscle,More than 3 years,Retired,Standing All Day,Program 14
Healthy Habits,118,165,Stocky,Foot region,Athletic,Easily Gain and Lose,1-2 years,Retired,Active Breaks,Program 5
Get in Shape,70,158,Obese,None,Muscular,Struggle to Build Muscle,Less than 1 year,9 to 5,Active Breaks,Program 3
Weight Loss,98,154,Slim,Head region,Muscular,Struggle to Build Muscle,More than 3 years,9 to 5,Standing All Day,Program 19
Weight Loss,113,176,Obese,Head region,Athletic,Gain Easily Struggle to Lose,Never,9 to 5,Active Breaks,Program 12
Get in Shape,116,163,Slim,Foot region,Athletic,Easily Gain and Lose,Never,9 to 5,Sitting Most of Day,Program 15
Get in Shape,51,150,Slim,Leg region,Drop Sizes,Easily Gain and Lose,Never,Retired,Sitting Most of Day,Program 5
Healthy Habits,67,156,Stocky,Leg region,Drop Sizes,Gain Easily Struggle to Lose,1-2 years,Flexible,Standing All Day,Program 20
Healthy Habits,82,167,Slim,Chest region,Toned,Gain Easily Struggle to Lose,Less than 1 year,Night Shift,Active Breaks,Program 14
Weight Loss,88,189,Stocky,Foot region,Athletic,Struggle to Build Muscle,Less than 1 year,Flexible,Sitting Most of Day,Program 4
Healthy Habits,109,155,Slim,Foot region,Athletic,Easily Gain and Lose,1-2 years,Night Shift,Active Breaks,Program 5
Get in Shape,107,154,Obese,Head region,Toned,Easily Gain and Lose,1-2 years,Night Shift,Standing All Day,Program 5
Get in Shape,57,153,Stocky,Leg region,Drop Sizes,Gain Easily Struggle to Lose,1-2 years,Flexible,Sitting Most of Day,Program 15
Get in Shape,55,197,Slim,Foot region,Drop Sizes,Struggle to Build Muscle,More than 3 years,9 to 5,Sitting Most of Day,Program 5
Weight Loss,96,164,Slim,Arm region,Toned,Easily Gain and Lose,Less than 1 year,9 to 5,Active Breaks,Program 19
Healthy Habits,90,153,Obese,Foot region,Muscular,Struggle to Build Muscle,1-2 years,9 to 5,Sitting Most of Day,Program 14
Get in Shape,53,191,Slim,Chest region,Athletic,Easily Gain and Lose,Less than 1 year,Flexible,Standing All Day,Program 15
Get in Shape,89,194,Stocky,Chest region,Drop Sizes,Gain Easily Struggle to Lose,1-2 years,Flexible,Active Breaks,Program 5
Healthy Habits,92,167,Medium Build,None,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,Retired,Standing All Day,Program 20
Get in Shape,96,199,Obese,Foot region,Muscular,Gain Easily Struggle to Lose,1-2 years,Flexible,Active Breaks,Program 15
Get in Shape,75,167,Obese,Leg region,Muscular,Struggle to Build Muscle,Never,Night Shift,Active Breaks,Program 5
Healthy Habits,80,183,Obese,Head region,Athletic,Easily Gain and Lose,More than 3 years,Flexible,Active Breaks,Program 5
Weight Loss,68,167,Medium Build,Foot region,Toned,Easily Gain and Lose,1-2 years,Night Shift,Active Breaks,Program 19
Healthy Habits,69,152,Obese,Head region,Athletic,Struggle to Build Muscle,Never,Night Shift,Sitting Most of Day,Program 20
Weight Loss,62,171,Slim,Arm region,Drop Sizes,Struggle to Build Muscle,Never,Night Shift,Standing All Day,Program 4
Weight Loss,59,163,Obese,None,Toned,Gain Easily Struggle to Lose,1-2 years,Flexible,Sitting Most of Day,Program 19
Healthy Habits,90,168,Slim,None,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,9 to 5,Sitting Most of Day,Program 14
Healthy Habits,69,199,Stocky,Chest region,Toned,Struggle to Build Muscle,1-2 years,Flexible,Sitting Most of Day,Program 14
Weight Loss,90,160,Slim,Chest region,Toned,Gain Easily Struggle to Lose,1-2 years,Retired,Active Breaks,Program 19
Weight Loss,67,192,Obese,Head region,Drop Sizes,Easily Gain and Lose,More than 3 years,Retired,Standing All Day,Program 4
Get in Shape,92,163,Medium Build,Foot region,Athletic,Struggle to Build Muscle,More than 3 years,Night Shift,Standing All Day,Program 5
Weight Loss,96,166,Slim,Chest region,Toned,Gain Easily Struggle to Lose,Less than 1 year,Retired,Sitting Most of Day,Program 19
Healthy Habits,75,177,Stocky,Foot region,Athletic,Struggle to Build Muscle,1-2 years,Flexible,Standing All Day,Program 5
Get in Shape,119,189,Stocky,Leg region,Muscular,Gain Easily Struggle to Lose,1-2 years,9 to 5,Standing All Day,Program 3
Healthy Habits,93,193,Slim,Arm region,Toned,Gain Easily Struggle to Lose,Never,Flexible,Active Breaks,Program 5
Weight Loss,100,188,Slim,None,Muscular,Easily Gain and Lose,1-2 years,Flexible,Standing All Day,Program 12
Weight Loss,115,160,Medium Build,Leg region,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,Night Shift,Sitting Most of Day,Program 12
Weight Loss,55,156,Stocky,Chest region,Toned,Gain Easily Struggle to Lose,1-2 years,Night Shift,Sitting Most of Day,Program 19
Healthy Habits,88,195,Slim,Head region,Muscular,Gain Easily Struggle to Lose,Never,9 to 5,Sitting Most of Day,Program 14
Healthy Habits,106,173,Slim,Leg region,Drop Sizes,Struggle to Build Muscle,More than 3 years,Flexible,Active Breaks,Program 14
Weight Loss,88,200,Slim,None,Muscular,Struggle to Build Muscle,1-2 years,9 to 5,Active Breaks,Program 4
Healthy Habits,65,162,Medium Build,Head region,Toned,Gain Easily Struggle to Lose,Less than 1 year,Flexible,Standing All Day,Program 5
Weight Loss,75,155,Slim,None,Toned,Gain Easily Struggle to Lose,1-2 years,Flexible,Sitting Most of Day,Program 12
Weight Loss,119,196,Obese,Foot region,Drop Sizes,Struggle to Build Muscle,Never,9 to 5,Standing All Day,Program 4
Healthy Habits,118,195,Obese,Chest region,Athletic,Gain Easily Struggle to Lose,1-2 years,Flexible,Sitting Most of Day,Program 14
Weight Loss,104,158,Stocky,Arm region,Toned,Gain Easily Struggle to Lose,1-2 years,Flexible,Active Breaks,Program 19
Weight Loss,114,182,Medium Build,Head region,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,Flexible,Active Breaks,Program 12
Healthy Habits,71,175,Obese,None,Toned,Gain Easily Struggle to Lose,Never,Flexible,Standing All Day,Program 20
Healthy Habits,108,176,Slim,None,Toned,Struggle to Build Muscle,More than 3 years,Retired,Active Breaks,Program 5
Weight Loss,99,195,Slim,None,Athletic,Easily Gain and Lose,Never,Night Shift,Standing All Day,Program 12
Healthy Habits,87,167,Stocky,Arm region,Athletic,Struggle to Build Muscle,Never,Retired,Sitting Most of Day,Program 5
Healthy Habits,95,176,Slim,Foot region,Drop Sizes,Struggle to Build Muscle,Never,9 to 5,Standing All Day,Program 20
Healthy Habits,81,163,Stocky,Leg region,Drop Sizes,Gain Easily Struggle to Lose,1-2 years,Flexible,Active Breaks,Program 20
Get in Shape,74,154,Stocky,Chest region,Athletic,Easily Gain and Lose,More than 3 years,Flexible,Sitting Most of Day,Program 5
Get in Shape,111,177,Stocky,Chest region,Athletic,Gain Easily Struggle to Lose,More than 3 years,Flexible,Sitting Most of Day,Program 5
Get in Shape,77,178,Slim,None,Muscular,Struggle to Build Muscle,Never,Flexible,Active Breaks,Program 15
Get in Shape,61,151,Stocky,Arm region,Athletic,Easily Gain and Lose,More than 3 years,Flexible,Standing All Day,Program 15
Get in Shape,93,200,Medium Build,Foot region,Toned,Gain Easily Struggle to Lose,More than 3 years,Night Shift,Sitting Most of Day,Program 15
Get in Shape,87,150,Slim,Chest region,Muscular,Easily Gain and Lose,1-2 years,Flexible,Active Breaks,Program 5
Healthy Habits,98,191,Medium Build,Arm region,Muscular,Gain Easily Struggle to Lose,Never,Night Shift,Standing All Day,Program 14
Healthy Habits,77,171,Slim,Head region,Athletic,Easily Gain and Lose,1-2 years,Night Shift,Sitting Most of Day,Program 5
Get in Shape,106,194,Slim,Arm region,Athletic,Struggle to Build Muscle,1-2 years,Retired,Standing All Day,Program 15
Healthy Habits,88,199,Slim,Leg region,Athletic,Easily Gain and Lose,Less than 1 year,9 to 5,Standing All Day,Program 14
Weight Loss,86,191,Medium Build,Leg region,Toned,Struggle to Build Muscle,Never,9 to 5,Standing All Day,Program 12
Weight Loss,73,184,Slim,Leg region,Muscular,Easily Gain and Lose,Never,Retired,Sitting Most of Day,Program 4
Get in Shape,103,160,Medium Build,Head region,Toned,Easily Gain and Lose,1-2 years,Night Shift,Standing All Day,Program 3
Weight Loss,66,176,Slim,Foot region,Muscular,Struggle to Build Muscle,More than 3 years,Flexible,Sitting Most of Day,Program 4
Weight Loss,94,166,Stocky,Head region,Toned,Gain Easily Struggle to Lose,Less than 1 year,9 to 5,Active Breaks,Program 19
Weight Loss,76,163,Stocky,Head region,Drop Sizes,Easily Gain and Lose,Never,Retired,Standing All Day,Program 4
Healthy Habits,88,162,Slim,Arm region,Drop Sizes,Easily Gain and Lose,More than 3 years,Retired,Active Breaks,Program 14
Get in Shape,101,169,Medium Build,Head region,Muscular,Struggle to Build Muscle,1-2 years,Flexible,Active Breaks,Program 15
Healthy Habits,72,152,Slim,Head region,Toned,Easily Gain and Lose,Less than 1 year,Night Shift,Standing All Day,Program 20
Get in Shape,95,189,Slim,Arm region,Toned,Struggle to Build Muscle,Less than 1 year,9 to 5,Active Breaks,Program 3
Weight Loss,83,180,Obese,Leg region,Muscular,Easily Gain and Lose,Never,9 to 5,Standing All Day,Program 4
Healthy Habits,120,150,Medium Build,Leg region,Athletic,Easily Gain and Lose,1-2 years,Night Shift,Active Breaks,Program 14
Weight Loss,114,177,Medium Build,Leg region,Muscular,Gain Easily Struggle to Lose,More than 3 years,Night Shift,Sitting Most of Day,Program 4
Healthy Habits,97,174,Medium Build,Head region,Athletic,Struggle to Build Muscle,Never,9 to 5,Active Breaks,Program 14
Healthy Habits,115,200,Slim,Foot region,Toned,Easily Gain and Lose,Never,Night Shift,Standing All Day,Program 20
Get in Shape,74,155,Obese,Foot region,Muscular,Easily Gain and Lose,More than 3 years,Flexible,Standing All Day,Program 3
Weight Loss,82,160,Obese,Head region,Muscular,Gain Easily Struggle to Lose,Less than 1 year,Night Shift,Sitting Most of Day,Program 4
Healthy Habits,60,154,Stocky,Chest region,Drop Sizes,Easily Gain and Lose,More than 3 years,Night Shift,Active Breaks,Program 14
Get in Shape,70,163,Medium Build,Leg region,Toned,Gain Easily Struggle to Lose,1-2 years,Retired,Standing All Day,Program 3
Get in Shape,113,169,Stocky,Head region,Toned,Struggle to Build Muscle,Never,Retired,Active Breaks,Program 5
Healthy Habits,105,184,Obese,Head region,Athletic,Gain Easily Struggle to Lose,More than 3 years,Night Shift,Sitting Most of Day,Program 5
Get in Shape,62,175,Obese,None,Athletic,Gain Easily Struggle to Lose,1-2 years,Night Shift,Active Breaks,Program 15
Healthy Habits,113,174,Obese,Head region,Athletic,Gain Easily Struggle to Lose,Never,Retired,Sitting Most of Day,Program 14
Weight Loss,73,165,Stocky,Arm region,Muscular,Gain Easily Struggle to Lose,Never,Flexible,Sitting Most of Day,Program 4
Healthy Habits,60,154,Obese,Leg region,Toned,Gain Easily Struggle to Lose,Never,Retired,Standing All Day,Program 14
Healthy Habits,94,197,Medium Build,None,Drop Sizes,Easily Gain and Lose,More than 3 years,Night Shift,Active Breaks,Program 14
Weight Loss,107,188,Obese,Head region,Muscular,Gain Easily Struggle to Lose,More than 3 years,Flexible,Active Breaks,Program 19
Healthy Habits,99,155,Obese,Chest region,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,Retired,Active Breaks,Program 20
Get in Shape,112,170,Obese,None,Athletic,Gain Easily Struggle to Lose,Never,Retired,Sitting Most of Day,Program 5
Get in Shape,86,150,Stocky,Foot region,Toned,Struggle to Build Muscle,Less than 1 year,9 to 5,Standing All Day,Program 5
Healthy Habits,116,169,Slim,Chest region,Toned,Gain Easily Struggle to Lose,More than 3 years,Flexible,Sitting Most of Day,Program 5
Get in Shape,112,162,Obese,Foot region,Toned,Gain Easily Struggle to Lose,Never,9 to 5,Sitting Most of Day,Program 5
Weight Loss,54,166,Stocky,Leg region,Toned,Gain Easily Struggle to Lose,Less than 1 year,Flexible,Sitting Most of Day,Program 12
Get in Shape,85,150,Slim,Chest region,Drop Sizes,Easily Gain and Lose,More than 3 years,Night Shift,Active Breaks,Program 15
Get in Shape,102,155,Obese,Leg region,Toned,Easily Gain and Lose,Never,Night Shift,Sitting Most of Day,Program 15
Weight Loss,91,152,Obese,Chest region,Toned,Struggle to Build Muscle,Less than 1 year,Night Shift,Standing All Day,Program 19
Get in Shape,54,182,Slim,Chest region,Drop Sizes,Struggle to Build Muscle,Less than 1 year,Night Shift,Active Breaks,Program 15
Get in Shape,105,190,Medium Build,Leg region,Toned,Struggle to Build Muscle,Less than 1 year,Retired,Sitting Most of Day,Program 3
Get in Shape,61,175,Obese,None,Muscular,Struggle to Build Muscle,More than 3 years,Night Shift,Sitting Most of Day,Program 3
Healthy Habits,81,156,Medium Build,Arm region,Athletic,Easily Gain and Lose,More than 3 years,Night Shift,Sitting Most of Day,Program 14
Get in Shape,118,176,Medium Build,Foot region,Athletic,Struggle to Build Muscle,Never,Retired,Sitting Most of Day,Program 3
Healthy Habits,70,165,Slim,None,Athletic,Easily Gain and Lose,1-2 years,9 to 5,Active Breaks,Program 5
Healthy Habits,77,157,Stocky,None,Toned,Struggle to Build Muscle,Never,Flexible,Sitting Most of Day,Program 5
Get in Shape,52,179,Stocky,Arm region,Toned,Struggle to Build Muscle,Less than 1 year,9 to 5,Active Breaks,Program 3
Healthy Habits,85,159,Medium Build,None,Athletic,Gain Easily Struggle to Lose,More than 3 years,9 to 5,Standing All Day,Program 20
Weight Loss,51,181,Obese,Head region,Athletic,Gain Easily Struggle to Lose,Never,Flexible,Active Breaks,Program 4
Healthy Habits,51,187,Obese,Arm region,Muscular,Gain Easily Struggle to Lose,1-2 years,Retired,Sitting Most of Day,Program 20
Healthy Habits,86,182,Medium Build,Leg region,Drop Sizes,Easily Gain and Lose,Never,Flexible,Standing All Day,Program 20
Healthy Habits,108,195,Slim,None,Drop Sizes,Easily Gain and Lose,Less than 1 year,Flexible,Sitting Most of Day,Program 14
Healthy Habits,114,162,Slim,Arm region,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,Flexible,Active Breaks,Program 14
Get in Shape,55,199,Stocky,Head region,Toned,Easily Gain and Lose,1-2 years,9 to 5,Sitting Most of Day,Program 3
Weight Loss,86,153,Medium Build,Foot region,Muscular,Struggle to Build Muscle,Never,Flexible,Standing All Day,Program 12
Get in Shape,109,199,Medium Build,Head region,Muscular,Struggle to Build Muscle,1-2 years,9 to 5,Sitting Most of Day,Program 5
Weight Loss,95,184,Obese,Arm region,Toned,Easily Gain and Lose,1-2 years,Flexible,Active Breaks,Program 12
Get in Shape,70,195,Medium Build,Chest region,Athletic,Struggle to Build Muscle,Never,Flexible,Standing All Day,Program 3
Healthy Habits,115,150,Slim,Arm region,Athletic,Gain Easily Struggle to Lose,Never,Night Shift,Standing All Day,Program 14
Weight Loss,83,192,Slim,Chest region,Toned,Struggle to Build Muscle,1-2 years,Flexible,Active Breaks,Program 12
Weight Loss,52,195,Medium Build,Head region,Toned,Struggle to Build Muscle,1-2 years,Retired,Standing All Day,Program 4
Get in Shape,87,169,Obese,Foot region,Drop Sizes,Struggle to Build Muscle,Never,9 to 5,Sitting Most of Day,Program 3
Weight Loss,92,197,Stocky,Leg region,Muscular,Gain Easily Struggle to Lose,Less than 1 year,9 to 5,Sitting Most of Day,Program 12
Weight Loss,100,160,Slim,Arm region,Drop Sizes,Gain Easily Struggle to Lose,Never,Flexible,Sitting Most of Day,Program 4
Get in Shape,72,198,Stocky,Arm region,Drop Sizes,Struggle to Build Muscle,Never,Retired,Sitting Most of Day,Program 15
Weight Loss,50,157,Slim,Arm region,Athletic,Easily Gain and Lose,Less than 1 year,Flexible,Active Breaks,Program 4
Weight Loss,113,194,Stocky,Head region,Drop Sizes,Gain Easily Struggle to Lose,1-2 years,Night Shift,Sitting Most of Day,Program 4
Weight Loss,88,172,Stocky,None,Toned,Struggle to Build Muscle,Less than 1 year,Flexible,Standing All Day,Program 12
Get in Shape,109,187,Obese,Foot region,Muscular,Easily Gain and Lose,1-2 years,Flexible,Active Breaks,Program 15
Healthy Habits,61,162,Medium Build,None,Athletic,Struggle to Build Muscle,Never,Flexible,Active Breaks,Program 5
Weight Loss,118,169,Stocky,Foot region,Athletic,Easily Gain and Lose,More than 3 years,9 to 5,Standing All Day,Program 12
Get in Shape,98,150,Slim,Head region,Athletic,Struggle to Build Muscle,1-2 years,Night Shift,Sitting Most of Day,Program 3
Get in Shape,65,189,Slim,Head region,Drop Sizes,Easily Gain and Lose,Never,Night Shift,Sitting Most of Day,Program 15
Healthy Habits,84,182,Obese,Leg region,Muscular,Gain Easily Struggle to Lose,Less than 1 year,Night Shift,Active Breaks,Program 20
Weight Loss,74,155,Stocky,Foot region,Muscular,Struggle to Build Muscle,1-2 years,Retired,Active Breaks,Program 12
Healthy Habits,57,169,Obese,Arm region,Muscular,Easily Gain and Lose,Never,9 to 5,Sitting Most of Day,Program 14
Get in Shape,71,169,Stocky,Foot region,Toned,Easily Gain and Lose,More than 3 years,9 to 5,Sitting Most of Day,Program 5
Get in Shape,100,162,Obese,Leg region,Athletic,Gain Easily Struggle to Lose,Less than 1 year,9 to 5,Standing All Day,Program 5
Healthy Habits,118,165,Medium Build,Chest region,Muscular,Easily Gain and Lose,Less than 1 year,9 to 5,Standing All Day,Program 5
Get in Shape,58,182,Medium Build,Head region,Drop Sizes,Easily Gain and Lose,1-2 years,Flexible,Active Breaks,Program 5
Weight Loss,81,189,Obese,Arm region,Toned,Struggle to Build Muscle,Never,Retired,Active Breaks,Program 12
Get in Shape,93,174,Obese,Leg region,Muscular,Struggle to Build Muscle,Less than 1 year,Flexible,Standing All Day,Program 3
Weight Loss,76,152,Medium Build,Head region,Muscular,Struggle to Build Muscle,1-2 years,Night Shift,Active Breaks,Program 4
Weight Loss,101,193,Stocky,Foot region,Muscular,Gain Easily Struggle to Lose,More than 3 years,Retired,Active Breaks,Program 19
Healthy Habits,97,166,Obese,Arm region,Drop Sizes,Easily Gain and Lose,Less than 1 year,Flexible,Active Breaks,Program 14
Get in Shape,120,160,Obese,None,Athletic,Easily Gain and Lose,Less than 1 year,Retired,Sitting Most of Day,Program 3
Healthy Habits,95,162,Medium Build,Arm region,Toned,Easily Gain and Lose,Never,Night Shift,Standing All Day,Program 5
Get in Shape,57,160,Slim,Leg region,Drop Sizes,Struggle to Build Muscle,More than 3 years,9 to 5,Sitting Most of Day,Program 5
Healthy Habits,67,158,Stocky,Foot region,Toned,Struggle to Build Muscle,1-2 years,Flexible,Sitting Most of Day,Program 5
Get in Shape,82,192,Medium Build,Arm region,Athletic,Struggle to Build Muscle,More than 3 years,9 to 5,Active Breaks,Program 3
Healthy Habits,60,172,Medium Build,Foot region,Athletic,Easily Gain and Lose,Less than 1 year,Night Shift,Active Breaks,Program 5
Get in Shape,69,190,Medium Build,Arm region,Muscular,Easily Gain and Lose,More than 3 years,Retired,Standing All Day,Program 15
Healthy Habits,82,183,Slim,Leg region,Toned,Easily Gain and Lose,More than 3 years,Flexible,Standing All Day,Program 20
Weight Loss,62,153,Medium Build,Chest region,Drop Sizes,Struggle to Build Muscle,More than 3 years,Retired,Standing All Day,Program 19
Healthy Habits,102,162,Slim,Foot region,Toned,Gain Easily Struggle to Lose,Never,Flexible,Sitting Most of Day,Program 20
Healthy Habits,91,170,Slim,Chest region,Toned,Easily Gain and Lose,Never,Retired,Active Breaks,Program 20
Healthy Habits,96,171,Obese,Leg region,Toned,Struggle to Build Muscle,More than 3 years,Night Shift,Sitting Most of Day,Program 14
Healthy Habits,50,175,Obese,Foot region,Athletic,Easily Gain and Lose,1-2 years,Flexible,Sitting Most of Day,Program 20
Get in Shape,98,186,Obese,Chest region,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,Flexible,Sitting Most of Day,Program 3
Healthy Habits,86,198,Stocky,Chest region,Drop Sizes,Gain Easily Struggle to Lose,1-2 years,Flexible,Active Breaks,Program 5
Healthy Habits,93,176,Medium Build,Chest region,Toned,Easily Gain and Lose,More than 3 years,Flexible,Standing All Day,Program 5
Healthy Habits,53,176,Slim,Foot region,Drop Sizes,Gain Easily Struggle to Lose,Never,Flexible,Active Breaks,Program 20
Healthy Habits,91,174,Medium Build,Head region,Toned,Gain Easily Struggle to Lose,More than 3 years,Night Shift,Sitting Most of Day,Program 5
Weight Loss,107,154,Obese,Arm region,Toned,Struggle to Build Muscle,More than 3 years,Flexible,Standing All Day,Program 19
Healthy Habits,102,164,Medium Build,Leg region,Drop Sizes,Easily Gain and Lose,Less than 1 year,Night Shift,Sitting Most of Day,Program 14
Healthy Habits,115,159,Stocky,Head region,Muscular,Gain Easily Struggle to Lose,Less than 1 year,Flexible,Standing All Day,Program 14
Healthy Habits,111,188,Obese,Leg region,Drop Sizes,Easily Gain and Lose,Never,Night Shift,Sitting Most of Day,Program 14
Healthy Habits,50,160,Stocky,Leg region,Muscular,Gain Easily Struggle to Lose,Never,Night Shift,Standing All Day,Program 5
Weight Loss,73,169,Medium Build,Arm region,Toned,Easily Gain and Lose,Less than 1 year,Flexible,Standing All Day,Program 4
Get in Shape,78,154,Medium Build,None,Drop Sizes,Easily Gain and Lose,Never,9 to 5,Active Breaks,Program 15
Healthy Habits,98,160,Slim,Chest region,Athletic,Struggle to Build Muscle,More than 3 years,Night Shift,Standing All Day,Program 5
Weight Loss,87,159,Medium Build,Chest region,Muscular,Struggle to Build Muscle,More than 3 years,9 to 5,Active Breaks,Program 12
Healthy Habits,58,179,Slim,Leg region,Athletic,Struggle to Build Muscle,Less than 1 year,Retired,Sitting Most of Day,Program 14
Weight Loss,67,174,Obese,Foot region,Drop Sizes,Easily Gain and Lose,More than 3 years,Retired,Standing All Day,Program 19
Healthy Habits,115,192,Medium Build,Foot region,Drop Sizes,Easily Gain and Lose,Less than 1 year,Retired,Active Breaks,Program 5
Healthy Habits,64,177,Medium Build,Arm region,Athletic,Gain Easily Struggle to Lose,Never,Flexible,Standing All Day,Program 5
Healthy Habits,101,197,Medium Build,Arm region,Drop Sizes,Easily Gain and Lose,Less than 1 year,Night Shift,Standing All Day,Program 14
Get in Shape,99,192,Obese,None,Athletic,Struggle to Build Muscle,Never,Flexible,Standing All Day,Program 5
Weight Loss,88,175,Stocky,Chest region,Toned,Easily Gain and Lose,Less than 1 year,Flexible,Standing All Day,Program 4
Weight Loss,120,157,Stocky,Foot region,Toned,Gain Easily Struggle to Lose,1-2 years,Night Shift,Standing All Day,Program 4
Get in Shape,89,185,Slim,Head region,Drop Sizes,Struggle to Build Muscle,Less than 1 year,Retired,Active Breaks,Program 3
Weight Loss,110,160,Stocky,Arm region,Muscular,Easily Gain and Lose,Less than 1 year,Retired,Active Breaks,Program 4
Healthy Habits,96,200,Medium Build,Arm region,Muscular,Easily Gain and Lose,1-2 years,Retired,Standing All Day,Program 5
Healthy Habits,52,190,Stocky,Chest region,Muscular,Easily Gain and Lose,Less than 1 year,Flexible,Sitting Most of Day,Program 5
Get in Shape,120,164,Medium Build,Foot region,Toned,Struggle to Build Muscle,Never,Flexible,Active Breaks,Program 15
Weight Loss,88,199,Slim,Chest region,Toned,Struggle to Build Muscle,Never,9 to 5,Active Breaks,Program 19
Get in Shape,100,175,Slim,Head region,Athletic,Gain Easily Struggle to Lose,1-2 years,9 to 5,Active Breaks,Program 5
Get in Shape,74,176,Slim,Arm region,Muscular,Gain Easily Struggle to Lose,1-2 years,9 to 5,Standing All Day,Program 5
Get in Shape,68,193,Stocky,Foot region,Muscular,Struggle to Build Muscle,1-2 years,Flexible,Active Breaks,Program 15
Healthy Habits,77,185,Slim,Leg region,Toned,Struggle to Build Muscle,1-2 years,Retired,Standing All Day,Program 20
Get in Shape,120,185,Obese,Foot region,Toned,Easily Gain and Lose,More than 3 years,Night Shift,Active Breaks,Program 3
Healthy Habits,84,188,Medium Build,Chest region,Drop Sizes,Easily Gain and Lose,More than 3 years,9 to 5,Active Breaks,Program 20
Weight Loss,112,154,Obese,Arm region,Toned,Struggle to Build Muscle,Less than 1 year,9 to 5,Active Breaks,Program 19
Healthy Habits,59,187,Medium Build,Leg region,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,Retired,Active Breaks,Program 14
Healthy Habits,105,153,Medium Build,Head region,Drop Sizes,Gain Easily Struggle to Lose,1-2 years,Flexible,Active Breaks,Program 5
Get in Shape,113,191,Stocky,Head region,Muscular,Struggle to Build Muscle,Never,9 to 5,Sitting Most of Day,Program 3
Weight Loss,100,180,Medium Build,None,Athletic,Struggle to Build Muscle,More than 3 years,Night Shift,Sitting Most of Day,Program 19
Healthy Habits,57,160,Obese,Head region,Athletic,Gain Easily Struggle to Lose,Less than 1 year,Retired,Active Breaks,Program 5
Weight Loss,83,184,Slim,Chest region,Toned,Struggle to Build Muscle,More than 3 years,9 to 5,Standing All Day,Program 19
Healthy Habits,72,155,Stocky,Head region,Drop Sizes,Gain Easily Struggle to Lose,1-2 years,Night Shift,Sitting Most of Day,Program 5
Get in Shape,77,160,Stocky,None,Athletic,Gain Easily Struggle to Lose,Less than 1 year,Retired,Sitting Most of Day,Program 15
Healthy Habits,92,158,Slim,Leg region,Drop Sizes,Struggle to Build Muscle,Never,Night Shift,Standing All Day,Program 20
Healthy Habits,103,160,Obese,Arm region,Drop Sizes,Easily Gain and Lose,Less than 1 year,Flexible,Sitting Most of Day,Program 5
Get in Shape,76,194,Slim,Leg region,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,Retired,Sitting Most of Day,Program 3
Healthy Habits,61,161,Stocky,Foot region,Athletic,Struggle to Build Muscle,Never,Night Shift,Active Breaks,Program 5
Healthy Habits,76,167,Medium Build,Arm region,Drop Sizes,Easily Gain and Lose,Never,Retired,Sitting Most of Day,Program 20
Get in Shape,76,192,Slim,Arm region,Muscular,Gain Easily Struggle to Lose,Never,Flexible,Sitting Most of Day,Program 3
Get in Shape,117,174,Slim,Leg region,Drop Sizes,Struggle to Build Muscle,Less than 1 year,Retired,Standing All Day,Program 15
Get in Shape,102,162,Obese,Arm region,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,Flexible,Standing All Day,Program 3
Healthy Habits,68,197,Stocky,Arm region,Toned,Easily Gain and Lose,More than 3 years,Retired,Active Breaks,Program 5
Weight Loss,92,165,Stocky,Chest region,Toned,Struggle to Build Muscle,1-2 years,Night Shift,Standing All Day,Program 4
Healthy Habits,107,200,Medium Build,Head region,Toned,Gain Easily Struggle to Lose,Never,Flexible,Standing All Day,Program 5
Healthy Habits,79,155,Medium Build,Arm region,Athletic,Struggle to Build Muscle,1-2 years,Flexible,Standing All Day,Program 5
Get in Shape,109,197,Obese,Head region,Muscular,Easily Gain and Lose,Never,Flexible,Standing All Day,Program 3
Get in Shape,68,160,Medium Build,None,Toned,Gain Easily Struggle to Lose,1-2 years,Retired,Sitting Most of Day,Program 5
Healthy Habits,54,169,Stocky,Head region,Muscular,Easily Gain and Lose,Less than 1 year,9 to 5,Standing All Day,Program 14
